ti,   y,   u
31306.000000,   30.547028,   -0.016174
31435.000000,   30.746155,   -0.023804
31513.000000,   30.731049,   -0.019226
31611.000000,   30.746155,   -0.019226
31706.000000,   30.731049,   -0.019226
31812.000000,   30.516815,   -0.023804
31917.000000,   31.143036,   -0.019226
32013.000000,   30.364380,   -0.019226
32111.000000,   31.325684,   -0.019226
32212.000000,   30.531921,   -0.019226
32312.000000,   30.974121,   -0.019226
32412.000000,   30.746155,   -0.019226
32512.000000,   30.531921,   -0.019226
32632.000000,   30.319061,   -0.023804
32712.000000,   30.883484,   -0.019226
32811.000000,   30.227051,   -0.019226
32906.000000,   30.791473,   -0.023804
33012.000000,   30.257263,   -0.016174
33117.000000,   30.578613,   -0.026855
33213.000000,   30.806580,   -0.023804
33312.000000,   30.593719,   -0.016174
33412.000000,   30.486603,   -0.016174
33511.000000,   30.501709,   -0.016174
33612.000000,   29.754639,   -0.026855
33712.000000,   29.830170,   -0.023804
33837.000000,   30.853271,   -0.023804
33935.000000,   30.089722,   -0.016174
34012.000000,   31.020813,   -0.016174
34111.000000,   30.578613,   -0.023804
34221.000000,   30.684357,   -0.011597
34306.000000,   30.562134,   -0.019226
34413.000000,   30.608826,   -0.016174
34511.000000,   30.089722,   -0.023804
34612.000000,   30.806580,   -0.016174
34711.000000,   29.662628,   -0.016174
34812.000000,   30.731049,   -0.023804
34912.000000,   30.547028,   -0.019226
35031.000000,   30.761261,   -0.016174
35107.000000,   29.922180,   -0.023804
35212.000000,   30.578613,   -0.023804
35311.000000,   30.029297,   -0.016174
35426.000000,   30.334167,   -0.011597
35512.000000,   29.738159,   -0.023804
35612.000000,   30.623932,   -0.026855
35706.000000,   30.272369,   -0.023804
35817.000000,   29.952393,   -0.031433
35933.000000,   29.326172,   -0.011597
36013.000000,   30.578613,   -0.011597
36112.000000,   29.723053,   -0.026855
36211.000000,   30.409698,   -0.026855
36306.000000,   29.540405,   -0.023804
36411.000000,   30.119934,   -0.026855
36512.000000,   29.860382,   -0.019226
36612.000000,   30.257263,   -0.019226
36712.000000,   29.295959,   -0.023804
36811.000000,   30.334167,   -0.019226
36906.000000,   30.135040,   -0.016174
37021.000000,   30.531921,   -0.011597
37106.000000,   29.372864,   -0.031433
37212.000000,   30.257263,   -0.026855
37312.000000,   29.555511,   -0.016174
37412.000000,   29.799957,   -0.019226
37527.000000,   29.738159,   -0.026855
37613.000000,   30.119934,   -0.023804
37711.000000,   30.196838,   -0.008545
37811.000000,   30.227051,   -0.026855
37913.000000,   29.448395,   -0.019226
38012.000000,   30.150146,   -0.026855
38113.000000,   29.311066,   -0.023804
38212.000000,   29.982605,   -0.023804
38312.000000,   29.677734,   -0.023804
38411.000000,   29.448395,   -0.019226
38506.000000,   29.982605,   -0.019226
38612.000000,   29.570618,   -0.031433
38732.000000,   30.119934,   -0.023804
38812.000000,   29.083099,   -0.019226
38912.000000,   30.196838,   -0.011597
39012.000000,   30.029297,   -0.019226
39116.000000,   29.815063,   -0.019226
39235.000000,   29.372864,   -0.023804
39312.000000,   29.265747,   -0.023804
39418.000000,   29.632416,   -0.019226
39513.000000,   29.952393,   -0.023804
39611.000000,   29.525299,   -0.026855
39706.000000,   29.495087,   -0.023804
39833.000000,   29.372864,   -0.000916
39913.000000,   29.845276,   -0.019226
40012.000000,   29.463501,   49.777832
40116.000000,   30.044403,   49.790039
40212.000000,   30.227051,   49.782410
40318.000000,   30.029297,   49.790039
40433.000000,   29.632416,   49.793091
40512.000000,   29.952393,   49.790039
40612.000000,   29.815063,   49.782410
40711.000000,   29.205322,   49.785461
40812.000000,   29.479980,   49.782410
40912.000000,   29.463501,   49.774780
41033.000000,   29.295959,   49.790039
41113.000000,   29.372864,   49.782410
41212.000000,   28.914185,   49.790039
41312.000000,   29.173737,   49.785461
41426.000000,   29.692841,   49.777832
41512.000000,   29.937286,   49.782410
41612.000000,   29.220428,   49.790039
41711.000000,   29.188843,   49.790039
41812.000000,   30.349274,   49.782410
41911.000000,   29.585724,   49.785461
42031.000000,   29.280853,   49.785461
42107.000000,   29.540405,   49.790039
42212.000000,   29.495087,   49.790039
42333.000000,   29.662628,   49.777832
42412.000000,   30.029297,   49.782410
42512.000000,   29.617310,   49.782410
42626.000000,   29.967499,   49.782410
42713.000000,   30.104828,   49.785461
42812.000000,   29.585724,   49.785461
42912.000000,   30.409698,   49.782410
43015.000000,   29.907074,   49.782410
43138.000000,   29.570618,   49.777832
43212.000000,   29.799957,   49.785461
43312.000000,   29.311066,   49.777832
43411.000000,   30.211945,   49.793091
43512.000000,   30.639038,   49.793091
43621.000000,   30.044403,   49.782410
43706.000000,   30.104828,   49.793091
43812.000000,   30.319061,   49.782410
43912.000000,   30.486603,   49.777832
44011.000000,   30.746155,   49.785461
44106.000000,   29.982605,   49.782410
44231.000000,   30.227051,   49.782410
44335.000000,   30.806580,   49.785461
44413.000000,   30.654144,   49.790039
44511.000000,   30.104828,   49.785461
44612.000000,   30.044403,   49.777832
44711.000000,   31.051025,   49.782410
44813.000000,   31.111450,   49.782410
44912.000000,   30.883484,   49.790039
45012.000000,   30.135040,   49.785461
45111.000000,   31.203461,   49.777832
45212.000000,   30.699463,   49.785461
45312.000000,   30.913696,   49.785461
45420.000000,   30.319061,   49.777832
45536.000000,   31.066132,   49.777832
45612.000000,   30.471497,   49.785461
45711.000000,   30.456390,   49.785461
45812.000000,   30.731049,   49.777832
45927.000000,   30.776367,   49.785461
46012.000000,   31.111450,   49.785461
46112.000000,   30.654144,   49.785461
46211.000000,   31.539917,   49.782410
46306.000000,   31.493225,   49.790039
46413.000000,   31.111450,   49.782410
46531.000000,   31.630554,   49.790039
46612.000000,   31.539917,   49.777832
46738.000000,   31.570129,   49.785461
46812.000000,   31.143036,   49.777832
46911.000000,   30.959015,   49.782410
47012.000000,   31.203461,   49.782410
47127.000000,   31.096344,   49.774780
47213.000000,   30.913696,   49.777832
47311.000000,   31.386108,   49.790039
47412.000000,   31.111450,   49.777832
47511.000000,   30.883484,   49.782410
47637.000000,   31.677246,   49.785461
47712.000000,   30.853271,   49.782410
47811.000000,   31.371002,   49.782410
