File_Record_0005.rec ( 40391 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 4:08:55 PM Fmax 0.7 Hz
t	y	u	
3920.000000	2.5452e+001	-1.5130e-002	
3930.000000	2.4841e+001	-2.6478e-002	
3940.000000	2.5543e+001	-1.1348e-002	
3950.000000	2.5253e+001	-2.2695e-002	
3960.000000	2.5818e+001	-1.8913e-002	
3970.000000	2.5223e+001	-1.5130e-002	
3980.000000	2.5681e+001	-1.8913e-002	
3990.000000	2.5375e+001	-1.8913e-002	
4000.000000	2.5864e+001	-1.5130e-002	
4010.000000	2.5467e+001	-1.8913e-002	
4020.000000	2.5848e+001	-2.2695e-002	
4030.000000	2.5711e+001	-3.0261e-002	
4040.000000	2.5482e+001	-1.8913e-002	
4050.000000	2.5757e+001	-1.8913e-002	
4060.000000	2.5848e+001	-1.8913e-002	
4070.000000	2.5604e+001	-1.8913e-002	
4080.000000	2.5269e+001	-2.2695e-002	
4090.000000	2.6031e+001	-1.5130e-002	
4100.000000	2.5436e+001	-1.1348e-002	
4110.000000	2.5452e+001	-1.5130e-002	
4120.000000	2.5101e+001	-2.2695e-002	
4130.000000	2.5787e+001	-2.2695e-002	
4140.000000	2.5269e+001	-2.2695e-002	
4150.000000	2.5421e+001	-1.1348e-002	
4160.000000	2.5024e+001	-7.5652e-003	
4170.000000	2.5406e+001	-2.2695e-002	
4180.000000	2.5131e+001	-1.8913e-002	
4190.000000	2.5177e+001	-1.5130e-002	
4200.000000	2.5009e+001	-1.5130e-002	
4210.000000	2.5269e+001	-1.8913e-002	
4220.000000	2.5101e+001	-1.5130e-002	
4230.000000	2.4994e+001	-1.5130e-002	
4240.000000	2.5436e+001	-1.8913e-002	
4250.000000	2.4994e+001	-1.5130e-002	
4260.000000	2.4963e+001	-1.8913e-002	
4270.000000	2.5101e+001	-1.8913e-002	
4280.000000	2.5574e+001	-1.8913e-002	
4290.000000	2.4902e+001	-1.1348e-002	
4300.000000	2.5391e+001	-2.6478e-002	
4310.000000	2.5452e+001	-1.8913e-002	
4320.000000	2.5620e+001	-1.5130e-002	
4330.000000	2.5116e+001	-3.7826e-003	
4340.000000	2.5650e+001	-1.1348e-002	
4350.000000	2.5604e+001	-1.8913e-002	
4360.000000	2.5894e+001	-3.7826e-003	
4370.000000	2.5467e+001	-1.5130e-002	
4380.000000	2.5589e+001	-1.8913e-002	
4390.000000	2.5726e+001	-1.1348e-002	
4400.000000	2.5726e+001	-3.0261e-002	
4410.000000	2.5635e+001	-1.5130e-002	
4420.000000	2.5513e+001	-1.8913e-002	
4430.000000	2.5940e+001	-1.5130e-002	
4440.000000	2.5192e+001	-1.5130e-002	
4450.000000	2.5665e+001	-1.8913e-002	
4460.000000	2.5482e+001	-1.8913e-002	
4470.000000	2.5604e+001	-2.6478e-002	
4480.000000	2.4979e+001	-1.5130e-002	
4490.000000	2.5757e+001	-1.8913e-002	
4500.000000	2.5253e+001	-1.5130e-002	
4510.000000	2.5208e+001	-1.8913e-002	
4520.000000	2.4963e+001	-2.2695e-002	
4530.000000	2.5452e+001	-1.5130e-002	
4540.000000	2.5131e+001	-1.8913e-002	
4550.000000	2.5085e+001	-1.5130e-002	
4560.000000	2.5055e+001	-2.2695e-002	
4570.000000	2.5116e+001	-2.2695e-002	
4580.000000	2.5284e+001	-1.1348e-002	
4590.000000	2.5040e+001	-1.5130e-002	
