File_Record_0001.rec ( 60606 Echant/voies ) Période acquisition :10ms
Date :6/16/2023 2:21:29 PM Fmax 1 Hz
t	y	u	
4550.000000	2.3001e+001	3.4873e+001	
4560.000000	2.3312e+001	3.4873e+001	
4570.000000	2.3819e+001	3.4877e+001	
4580.000000	2.3483e+001	3.4873e+001	
4590.000000	2.3480e+001	3.4875e+001	
4600.000000	2.3383e+001	3.4869e+001	
4610.000000	2.3260e+001	3.4873e+001	
4620.000000	2.3276e+001	3.4871e+001	
4630.000000	2.3697e+001	3.4879e+001	
4640.000000	2.3587e+001	3.4877e+001	
4650.000000	2.3004e+001	3.4875e+001	
4660.000000	2.3090e+001	3.4873e+001	
4670.000000	2.3599e+001	3.4877e+001	
4680.000000	2.3685e+001	3.4871e+001	
4690.000000	2.3434e+001	3.4871e+001	
4700.000000	2.3242e+001	3.4871e+001	
4710.000000	2.3526e+001	3.4873e+001	
4720.000000	2.3773e+001	3.4873e+001	
4730.000000	2.3648e+001	3.4873e+001	
4740.000000	2.3590e+001	3.4869e+001	
4750.000000	2.3315e+001	3.4875e+001	
4760.000000	2.3056e+001	3.4871e+001	
4770.000000	2.3712e+001	3.4873e+001	
4780.000000	2.3819e+001	3.4875e+001	
4790.000000	2.3315e+001	3.4873e+001	
4800.000000	2.3010e+001	2.8015e+001	
4810.000000	2.3483e+001	1.9560e+001	
4820.000000	2.3669e+001	1.5392e+001	
4830.000000	2.3367e+001	1.0729e+001	
4840.000000	2.3642e+001	8.4231e+000	
4850.000000	2.3120e+001	5.8327e+000	
4860.000000	2.3151e+001	4.5423e+000	
4870.000000	2.3718e+001	3.0923e+000	
4880.000000	2.3923e+001	2.3712e+000	
4890.000000	2.3489e+001	1.5615e+000	
4900.000000	2.3383e+001	1.1538e+000	
4910.000000	2.3376e+001	7.0000e-001	
4920.000000	2.3029e+001	4.6538e-001	
4930.000000	2.3596e+001	2.1346e-001	
4940.000000	2.3648e+001	6.9231e-002	
4950.000000	2.3608e+001	-8.0769e-002	
4960.000000	2.3749e+001	-1.5192e-001	
4970.000000	2.3135e+001	-1.7308e-001	
4980.000000	2.2925e+001	-1.2500e-001	
4990.000000	2.3853e+001	-7.5000e-002	
5000.000000	2.3862e+001	-5.1923e-002	
5010.000000	2.3248e+001	-2.6923e-002	
5020.000000	2.3550e+001	-1.5385e-002	
5030.000000	2.3502e+001	0.0000e+000	
5040.000000	2.3013e+001	0.0000e+000	
5050.000000	2.3792e+001	9.6154e-003	
5060.000000	2.4094e+001	1.1538e-002	
5070.000000	2.3340e+001	-3.8462e-003	
5080.000000	2.3099e+001	-1.3462e-002	
5090.000000	2.3434e+001	-2.8846e-002	
5100.000000	2.3462e+001	-2.6923e-002	
5110.000000	2.3825e+001	-1.9231e-002	
5120.000000	2.3795e+001	-5.7692e-003	
5130.000000	2.3346e+001	-7.6923e-003	
5140.000000	2.3267e+001	3.8462e-003	
5150.000000	2.3251e+001	3.8462e-003	
5160.000000	2.3410e+001	-7.6923e-003	
